emotion,browDownLeft,browDownRight,browInnerUp,cheekSquintLeft,cheekSquintRight,eyeBlinkRight,eyeBlinkLeft,eyeSquintRight,eyeSquintLeft,eyeWideLeft,eyeWideRight,jawOpen,mouthSmileLeft,mouthSmileRight
1,0.0582699291,0.0267769638,0.0297820345,0.0000064523,0.0000018754,0.0728471428,0.1527415663,0.4728171527,0.5749318600,0.0072584269,0.0105541339,0.0751162246,0.8419799805,0.8522454500
1,0.0295326468,0.0238434952,0.0897360072,0.0000097862,0.0000021669,0.5500618219,0.7646725178,0.5771591663,0.4872435331,0.0004211115,0.0008068663,0.0469701700,0.8291901946,0.8681411743
1,0.2488534898,0.1964846998,0.0021622283,0.0000019215,0.0000018639,0.0610153116,0.1130430177,0.2112252861,0.3338500857,0.0102696205,0.0102289170,0.0388316549,0.8508238792,0.7764119506
1,0.0009044760,0.0009494988,0.2134814262,0.0000000752,0.0000000360,0.7839930654,0.6418600082,0.2270953357,0.5349078774,0.0031589561,0.0000640645,0.0023442574,0.0000141339,0.0000239094
1,0.0547364466,0.1092553288,0.0224574339,0.0000035111,0.0000010809,0.2417163402,0.3867870867,0.3893534839,0.4737345874,0.0017285985,0.0022802369,0.0035333855,0.4961810410,0.4153231680
1,0.2083923668,0.0986771584,0.0072922632,0.0000033095,0.0000023512,0.0439632945,0.0802741125,0.2286215276,0.3605728745,0.0106688356,0.0242093150,0.0832096487,0.9157317877,0.8385728598
1,0.0025551287,0.0017242176,0.4576268494,0.0000033597,0.0000011100,0.0121619059,0.0215239115,0.1148137599,0.2272153795,0.0327424966,0.0512156300,0.0327070244,0.7753848433,0.8209440708
1,0.0007772015,0.0022394001,0.0706886277,0.0000028745,0.0000021764,0.0192540530,0.0144905001,0.0443132855,0.0469406359,0.0601215586,0.0466667898,0.0036142576,0.8290950656,0.8244032860
1,0.2330998480,0.0995957926,0.0073351664,0.0000013662,0.0000014737,0.0881624147,0.1211182028,0.4875965118,0.6155143976,0.0067800949,0.0084378915,0.1130872816,0.8001002073,0.6055181026
1,0.0003890970,0.0003916428,0.5161035061,0.0000018504,0.0000016202,0.0213320050,0.0860955641,0.0830587894,0.1340071708,0.0137246158,0.0466129221,0.1492076069,0.7605309486,0.7745493650
1,0.0002029775,0.0038657114,0.1414892673,0.0000025087,0.0000025360,0.0724653304,0.0487757437,0.1515360922,0.3664890528,0.0451156050,0.0130864531,0.0092257084,0.7530959249,0.7887307405
1,0.0288314801,0.0535623506,0.0313923135,0.0000011179,0.0000003783,0.1242126375,0.2636291683,0.4852070510,0.4189702570,0.0076263971,0.0036078519,0.0271497890,0.5133513212,0.7920094728
1,0.0077094641,0.0631702617,0.0068487087,0.0000025341,0.0000017706,0.2888761759,0.1616504043,0.3895082176,0.5876290798,0.0081048859,0.0021300933,0.0062347711,0.8009237051,0.8622841835
1,0.0016286053,0.0006410632,0.4694496691,0.0000085208,0.0000046550,0.0518330447,0.3004357815,0.1424763948,0.3348852098,0.0025861755,0.0168430023,0.0260905027,0.1192459688,0.0213435628
1,0.1237300187,0.0943358690,0.0059996815,0.0000037133,0.0000010149,0.0490231663,0.0804409310,0.2691707313,0.4784015119,0.0153704137,0.0191145968,0.1069118306,0.8841033578,0.8880677223
1,0.0348996036,0.0456051603,0.2982610464,0.0000008826,0.0000041802,0.0999048799,0.2231645882,0.4643809497,0.3952255249,0.0029584656,0.0081512891,0.0296771061,0.1052695885,0.0346940346
1,0.0281327460,0.0432670005,0.0060483762,0.0000003866,0.0000007301,0.0371436663,0.0401606038,0.1963006705,0.4184389710,0.0264616814,0.0199701190,0.0009726973,0.7898141146,0.7138996720
1,0.0131245237,0.0354658142,0.0551659577,0.0000007605,0.0000002238,0.0150431599,0.0081672268,0.0845807716,0.1101322472,0.1021905243,0.0228135511,0.0235730205,0.0138651589,0.0677084625
1,0.4659762979,0.4776865840,0.0002304175,0.0000007425,0.0000003292,0.0419275351,0.0567368045,0.1811254472,0.4096679688,0.0101415971,0.0058064293,0.0601062849,0.0025915662,0.0031301498
1,0.0027982192,0.0036183470,0.0169213582,0.0000028870,0.0000016077,0.0643389672,0.0680349022,0.2445731759,0.4119146764,0.0164721757,0.0125903413,0.0053327088,0.8379473686,0.8135163188
1,0.0089598345,0.0075305840,0.1241817176,0.0000057676,0.0000073897,0.0816281363,0.1477220654,0.2712184787,0.2591786981,0.0109761637,0.0194725376,0.0231125038,0.9460503459,0.8930549622
1,0.0002179258,0.0000377048,0.7644923329,0.0000011661,0.0000016671,0.0186692923,0.0704897493,0.0769545734,0.1348914951,0.0180021040,0.0338378251,0.0173574351,0.0412113778,0.0176989213
1,0.0030276463,0.1289319098,0.0018097466,0.0000000347,0.0000008761,0.7689673901,0.1887017637,0.0184944794,0.6003021598,0.0084646344,0.0001577616,0.0237781256,0.0006109762,0.0006727698
1,0.0019111953,0.0125092985,0.0095826965,0.0000003689,0.0000002115,0.2493434399,0.1139716879,0.2155448794,0.5870013237,0.0125254896,0.0010661843,0.0001852890,0.5233464241,0.5009598136
1,0.0670732111,0.0254127178,0.0117599312,0.0000012215,0.0000012304,0.0199505948,0.0902530476,0.2860414684,0.5744113922,0.0055046799,0.0125042526,0.0227939077,0.0060582370,0.0013138471
1,0.0087593412,0.0046190177,0.1905820519,0.0000003048,0.0000001035,0.0962512568,0.1301355511,0.2160177082,0.1786171645,0.0086706346,0.0095368922,0.0001483590,0.7608612776,0.7821850181
1,0.0403784849,0.0573154055,0.0251360703,0.0000026810,0.0000021776,0.0475175492,0.1184891909,0.1590461284,0.3103696406,0.0077194939,0.0149823567,0.0018807602,0.7105907798,0.6923162937
1,0.0313177519,0.0217002928,0.0817107111,0.0000023687,0.0000007203,0.2037647814,0.2107828557,0.2848963141,0.2862345278,0.0076636407,0.0028194608,0.0188271999,0.6716001630,0.6750648022
1,0.0121099195,0.0039649885,0.0449726917,0.0000046288,0.0000031648,0.0833155736,0.1933218390,0.4070244431,0.4160377383,0.0040816679,0.0143053001,0.0086218743,0.8774034381,0.8498240709
